# SSG Migration Database
# source_lib	source_path	ssg_path	status	module	last_updated	notes	source_sync_commit	last_sync_date
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/DocxRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/DocxRendererContext.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/DocxRendererOptions.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/DocxRendererPhase.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/NodeDocxRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/NodeDocxRendererFactory.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/NodeDocxRendererHandler.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/PhasedNodeDocxRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/internal/CoreNodeDocxRenderer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/internal/DocxLinkResolver.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/internal/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/package-info.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/AttributeBlockFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/AttributeFormat.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/AttributeRunFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/BinaryPartAbstractImage.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/BlockFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/BlockFormatProviderBase.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/BoldRunFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/ColorNameMapper.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/ContentContainer.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocumentContentHandler.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocxContext.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocxContextFrameProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocxContextImpl.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/DocxHelper.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/FencedCodeBlockFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
flexmark	flexmark-docx-converter/src/main/java/com/vladsch/flexmark/docx/converter/util/FootnoteBlockFormatProvider.java		not_started	ssg-md	2026-03-30			2026-03-30
